LOAN_ID,CUSTOMER_ID,LOAN_AMOUNT,LOAN_TYPE,RATE_OF_INTEREST,EMI,TERM_MONTHS,LOAN_STATUS,ISSUE_DATE
LOAN20571,CUST10659,1399576,Personal,12,41778.78,41,Active,2024-02-25 00:00:00.000
LOAN21330,CUST10284,2032316,Business,13,46241.43,60,Active,2022-05-13 00:00:00.000
LOAN21143,CUST10171,2770434,Asset,9,103470.61,30,Closed,2024-07-10 00:00:00.000
LOAN21725,CUST10746,1647547,Personal,15,44512.81,50,Active,2024-05-31 00:00:00.000
LOAN20782,CUST10673,1534529,Education,13,39911.32,50,Active,2022-09-21 00:00:00.000
LOAN21782,CUST10638,1529424,Business,15,65074.9,28,Active,2024-11-14 00:00:00.000
LOAN21457,CUST10726,2369237,Asset,8,67675.02,40,Active,2024-03-07 00:00:00.000
LOAN20456,CUST10688,133980,Business,13,4619.93,35,Active,2023-02-04 00:00:00.000
LOAN21020,CUST10960,2265488,Business,15,61208.11,50,Active,2023-11-14 00:00:00.000
LOAN20374,CUST10003,2197691,Personal,13,53970.14,54,Active,2024-08-05 00:00:00.000
LOAN20471,CUST10279,2592754,Business,15,89878.67,36,Active,2024-07-22 00:00:00.000
LOAN21418,CUST10436,2790218,Business,13,103646.27,32,Active,2024-10-18 00:00:00.000
LOAN21250,CUST10196,1816113,Asset,10,64891.35,32,Active,2025-06-07 00:00:00.000
LOAN21663,CUST10638,104893,Personal,13,4001.68,31,Closed,2022-07-09 00:00:00.000
LOAN21836,CUST10400,409570,Business,12,19279.88,24,Active,2022-08-29 00:00:00.000
LOAN21462,CUST10388,2370519,Education,12,66859.08,44,Active,2024-02-11 00:00:00.000
LOAN21814,CUST10859,1266065,Asset,10,33854.69,45,Active,2022-11-18 00:00:00.000
LOAN21044,CUST10675,690860,Education,14,30958.51,26,Closed,2024-07-26 00:00:00.000
LOAN21999,CUST10506,1840793,Asset,10,84943.26,24,Active,2024-07-14 00:00:00.000
LOAN21252,CUST10712,393132,Personal,13,11700.43,42,Active,2024-09-22 00:00:00.000
LOAN20480,CUST10485,375099,Education,15,10949.18,45,Closed,2024-03-20 00:00:00.000
LOAN20823,CUST10260,1271152,Education,14,61031.67,24,Active,2023-05-10 00:00:00.000
LOAN20065,CUST10534,1184602,Asset,8,27476.09,51,Active,2021-10-18 00:00:00.000
LOAN21617,CUST10598,1997931,Asset,10,47503.22,52,Closed,2022-02-01 00:00:00.000
LOAN21951,CUST10636,2024534,Asset,8,51249.84,46,Active,2023-02-20 00:00:00.000
LOAN21983,CUST10929,400647,Asset,8,9780.96,48,Active,2022-01-03 00:00:00.000
LOAN20137,CUST10434,1218369,Personal,12,27437.91,59,Closed,2024-07-12 00:00:00.000
LOAN20738,CUST10487,2631790,Personal,12,123887.49,24,Active,2022-09-08 00:00:00.000
LOAN21007,CUST10633,2859536,Education,12,68790.66,54,Active,2021-06-11 00:00:00.000
LOAN20843,CUST10196,2479532,Personal,15,96973.05,31,Active,2022-10-27 00:00:00.000
LOAN20493,CUST10444,1217738,Education,15,33385.06,49,Active,2023-03-13 00:00:00.000
LOAN20072,CUST10649,2342581,Asset,8,51800.14,54,Active,2023-01-05 00:00:00.000
LOAN20867,CUST10921,1163909,Personal,13,42138.02,33,Active,2021-06-27 00:00:00.000
LOAN20116,CUST10204,676758,Personal,15,32813.73,24,Active,2023-05-27 00:00:00.000
LOAN20545,CUST10582,2170286,Education,13,49976.38,59,Active,2023-09-16 00:00:00.000
LOAN21758,CUST10969,1131086,Asset,9,27669.67,49,Active,2024-01-06 00:00:00.000
LOAN21699,CUST10459,2798421,Education,14,66670.35,58,Active,2022-04-10 00:00:00.000
LOAN20131,CUST10585,1769394,Business,14,43769.63,55,Active,2023-06-06 00:00:00.000
LOAN20687,CUST10129,547857,Education,13,23511.96,27,Active,2023-05-25 00:00:00.000
LOAN21966,CUST10164,1477821,Asset,9,35553.22,50,Active,2024-08-21 00:00:00.000
LOAN20794,CUST10785,2037517,Education,14,78705.29,31,Active,2022-12-10 00:00:00.000
LOAN21229,CUST10349,488444,Business,15,19624.97,30,Active,2022-01-01 00:00:00.000
LOAN20896,CUST10169,787015,Asset,9,18627.76,51,Active,2024-05-22 00:00:00.000
LOAN21176,CUST10583,1257000,Education,12,40812.34,37,Active,2023-11-04 00:00:00.000
LOAN20365,CUST10621,2144997,Education,15,57952.72,50,Closed,2024-09-23 00:00:00.000
LOAN20632,CUST10615,218326,Education,15,7107.31,39,Closed,2024-05-26 00:00:00.000
LOAN20213,CUST10909,704410,Personal,14,20559.59,44,Active,2022-07-30 00:00:00.000
LOAN20317,CUST10151,635012,Business,12,14669.77,57,Active,2021-12-04 00:00:00.000
LOAN21244,CUST10366,1320977,Personal,14,31858.64,57,Active,2024-03-18 00:00:00.000
LOAN21948,CUST10086,606610,Asset,10,13231.84,58,Active,2021-08-05 00:00:00.000
LOAN20067,CUST10092,1399325,Personal,15,67848.58,24,Active,2022-03-03 00:00:00.000
LOAN20696,CUST10462,1389057,Asset,10,33026.51,52,Active,2022-03-13 00:00:00.000
LOAN20887,CUST10586,215314,Asset,9,8288.99,29,Closed,2021-09-16 00:00:00.000
LOAN20175,CUST10186,2416611,Education,15,65291.09,50,Active,2022-11-30 00:00:00.000
LOAN21737,CUST10135,1604252,Personal,14,42529.5,50,Active,2023-05-02 00:00:00.000
LOAN21253,CUST10054,2066048,Personal,14,48637.6,59,Active,2025-04-19 00:00:00.000
LOAN21433,CUST10541,312866,Asset,9,7653.62,49,Active,2023-12-01 00:00:00.000
LOAN21366,CUST10170,2091520,Asset,10,89805.61,26,Active,2024-12-30 00:00:00.000
LOAN21689,CUST10649,322679,Business,13,8797.38,47,Active,2023-08-01 00:00:00.000
LOAN21388,CUST11000,2602219,Asset,10,111733.98,26,Active,2025-01-22 00:00:00.000
LOAN20960,CUST10293,1161759,Asset,9,27497.53,51,Active,2024-05-01 00:00:00.000
LOAN20657,CUST10991,1278150,Personal,12,40595.96,38,Closed,2022-06-14 00:00:00.000
LOAN20501,CUST10265,1165526,Business,15,35204.32,43,Active,2021-06-03 00:00:00.000
LOAN21027,CUST10761,2640764,Asset,9,68091.97,46,Active,2022-08-26 00:00:00.000
LOAN20849,CUST10181,599591,Business,14,17812.32,43,Active,2022-03-13 00:00:00.000
