PAYMENT_ID,LOAN_ID,DUE_DATE,PAID_DATE,AMOUNT_PAID,STATUS
PAY16638,LOAN20165,2023-10-01,2023-09-22,63855.17,Paid
PAY09872,LOAN20789,2025-04-01,2025-03-22,78265.5,Paid
PAY06188,LOAN20133,2022-07-01,2022-06-23,64193.95,Paid
PAY00691,LOAN20287,2024-07-01,2024-07-01,16805.75712,Partial
PAY08143,LOAN20660,2025-01-01,,0,Skipped
PAY17840,LOAN20719,2023-07-01,2023-06-30,16716.88,Paid
PAY04912,LOAN21617,2023-12-01,2023-11-28,47503.22,Paid
PAY14693,LOAN21935,2024-05-01,2024-04-30,51560.1,Paid
PAY17180,LOAN20130,2022-07-01,2022-06-23,42904.07,Paid
PAY17060,LOAN20242,2024-04-01,2024-06-15,19935.19,Late
PAY02276,LOAN21924,2024-08-01,2024-07-30,42805.08,Paid
PAY01472,LOAN20671,2023-04-01,2023-04-02,14367.88,Paid
PAY10904,LOAN21546,2023-02-01,2023-01-26,17393.19,Paid
PAY13198,LOAN21103,2024-01-01,,0,Skipped
PAY14554,LOAN20996,2024-04-01,2024-04-06,97686.31,Bounced
PAY15812,LOAN20742,2025-01-01,2024-12-25,58264.12,Paid
PAY04630,LOAN21990,2023-08-01,2023-07-22,54179.41,Paid
PAY03780,LOAN21007,2023-02-01,2023-01-28,68790.66,Paid
PAY05223,LOAN20767,2023-11-01,2023-11-05,61716.56,Bounced
PAY03568,LOAN20342,2022-12-01,2023-01-24,41185.35,Late
PAY13968,LOAN21481,2023-07-01,2023-07-05,72894.43,Bounced
PAY10608,LOAN20726,2024-08-01,2024-08-15,39867.40994,Partial
PAY00153,LOAN20966,2024-04-01,2024-04-02,28154.15,Paid
PAY08144,LOAN20660,2025-02-01,,0,Skipped
PAY01810,LOAN20751,2024-01-01,2023-12-30,64231.14,Paid
PAY06685,LOAN20307,2025-03-01,2025-03-03,44817.86808,Partial
PAY13360,LOAN20112,2024-05-01,2024-05-06,64230.62,Bounced
PAY02573,LOAN21293,2024-10-01,2024-09-28,27557.37,Paid
PAY13664,LOAN20904,2025-03-01,2025-02-22,82757.86,Paid
PAY03905,LOAN21291,2024-10-01,2024-10-09,37377.11845,Partial
PAY10118,LOAN20322,2022-11-01,,0,Skipped
PAY06352,LOAN21824,2025-03-01,2025-05-19,66595.1,Late
PAY16695,LOAN20687,2024-03-01,,0,Skipped
PAY12779,LOAN21197,2023-06-01,2023-05-24,34662.03,Paid
PAY05135,LOAN21626,2025-05-01,,0,Skipped
PAY07356,LOAN21002,2024-04-01,2024-06-21,47650.63,Late
PAY03543,LOAN20295,2024-09-01,2024-09-03,16877.14,Paid
PAY02081,LOAN20144,2023-12-01,2023-12-07,50227.81,Bounced
PAY14755,LOAN21394,2023-12-01,2023-11-28,28450.14,Paid
PAY06274,LOAN20350,2025-06-01,,0,Skipped
PAY10655,LOAN20395,2023-11-01,2023-10-23,19686.77,Paid
PAY10866,LOAN20071,2025-01-01,2025-01-05,56054.98,Bounced
PAY04791,LOAN20881,2025-03-01,2025-02-25,22180.24,Paid
PAY02787,LOAN20760,2024-05-01,2024-07-06,18422.97,Late
PAY11676,LOAN20448,2023-11-01,2023-10-28,29444.61,Paid
PAY04471,LOAN20970,2021-12-01,2021-12-02,36839.04,Paid
PAY00858,LOAN20577,2023-05-01,2023-04-24,12342.08,Paid
PAY15425,LOAN21277,2024-12-01,2024-12-14,14864.64268,Partial
PAY09760,LOAN21524,2023-07-01,2023-06-22,11087.91,Paid
PAY16551,LOAN20800,2024-07-01,,0,Skipped
PAY00371,LOAN20101,2023-04-01,2023-04-05,35417.83,Bounced
PAY06298,LOAN20782,2024-09-01,2024-08-23,39911.32,Paid
PAY00009,LOAN20441,2023-03-01,2023-03-09,5278.94,Late
PAY05376,LOAN21569,2023-07-01,2023-06-23,12818.94,Paid
PAY05271,LOAN20960,2024-07-01,2024-06-23,27497.53,Paid
PAY05079,LOAN21201,2024-02-01,,0,Skipped
PAY10646,LOAN21995,2024-07-01,2024-07-01,10689.83562,Partial
PAY11581,LOAN20811,2025-03-01,2025-02-23,77773.56,Paid
PAY04993,LOAN20935,2024-12-01,2024-11-29,1388.57,Paid
PAY10805,LOAN21097,2023-11-01,2023-10-24,72590.2,Paid
PAY09683,LOAN20141,2025-02-01,2025-01-27,79256.99,Paid
PAY01859,LOAN20154,2022-08-01,,0,Skipped
PAY15637,LOAN21509,2023-05-01,2023-05-11,54232.22986,Partial
PAY05442,LOAN21900,2023-10-01,2023-10-08,29259.72342,Partial
PAY17474,LOAN21906,2024-08-01,2024-07-30,56097.18,Paid
PAY11700,LOAN20939,2023-08-01,,0,Skipped
PAY13616,LOAN21669,2022-08-01,2022-07-28,72005.46,Paid
PAY05871,LOAN21343,2022-12-01,2023-01-21,25542.4,Late
PAY04920,LOAN21617,2024-08-01,2024-08-12,42553.70293,Partial
PAY05919,LOAN21581,2023-08-01,2023-07-27,66655.6,Paid
