LOAN_ID,CUSTOMER_ID,LOAN_AMOUNT,LOAN_TYPE,RATE_OF_INTEREST,EMI,TERM_MONTHS,LOAN_STATUS,ISSUE_DATE
LOAN20001,CUST10423,"2,08,078.00",Business,15,"6,284.93",43,Closed,28-02-2022
LOAN20002,CUST10085,"7,45,701.00",Asset,10,"25,939.75",33,Closed,07-06-2025
LOAN20003,CUST10706,"14,21,050.00",Personal,13,"33,545.87",57,Active,14-10-2023
LOAN20004,CUST10586,"12,23,855.00",Business,14,"29,157.46",58,Active,06-10-2024
LOAN20005,CUST10912,"22,97,108.00",Education,12,"72,959.59",38,Active,14-08-2024
LOAN20006,CUST10380,"4,58,149.00",Business,15,"14,624.76",40,Active,04-06-2024
LOAN20007,CUST10437,"5,28,898.00",Personal,15,"15,700.64",44,Active,02-11-2024
LOAN20008,CUST10289,"23,21,134.00",Education,12,"95,455.33",28,Active,23-01-2024
LOAN20009,CUST10303,"8,06,564.00",Education,12,"26,187.56",37,Active,20-11-2024
LOAN20010,CUST10848,"13,55,380.00",Asset,8,"33,088.79",48,Active,07-12-2022
LOAN20011,CUST10948,"28,31,705.00",Personal,14,"69,154.63",56,Active,23-08-2022
LOAN20012,CUST10914,"26,55,251.00",Business,15,"76,250.18",46,Active,19-11-2023
LOAN20013,CUST10784,"17,58,268.00",Education,12,"58,399.66",36,Active,25-12-2022
LOAN20014,CUST10723,"17,31,535.00",Business,14,"41,252.56",58,Active,14-08-2024
LOAN20015,CUST10754,"15,71,544.00",Business,15,"41,282.84",52,Active,04-07-2024
LOAN20016,CUST10792,"15,63,863.00",Asset,8,"56,006.87",31,Active,21-09-2024
LOAN20017,CUST10442,"4,98,173.00",Business,12,"14,311.20",43,Active,15-05-2023
LOAN20018,CUST10547,"18,56,775.00",Personal,14,"44,780.74",57,Active,15-07-2023
LOAN20019,CUST10715,"3,91,628.00",Personal,12,"10,663.15",46,Active,29-01-2022
LOAN20020,CUST10538,"18,97,796.00",Business,14,"91,118.66",24,Active,14-04-2022
LOAN20021,CUST10237,"17,10,280.00",Business,13,"61,918.77",33,Active,25-07-2024
LOAN20022,CUST10929,"7,73,496.00",Asset,10,"18,979.44",50,Closed,01-08-2021
LOAN20023,CUST10091,"15,56,222.00",Education,12,"39,102.89",51,Active,21-04-2025
LOAN20024,CUST10472,"29,52,868.00",Education,13,"72,515.52",54,Active,15-03-2025
LOAN20025,CUST10755,"20,99,480.00",Asset,8,"57,477.41",42,Closed,21-11-2021
LOAN20026,CUST10287,"25,15,748.00",Asset,10,"60,753.15",51,Active,10-08-2022
LOAN20027,CUST10108,"17,77,111.00",Business,14,"70,548.40",30,Active,30-06-2022
LOAN20028,CUST10174,"19,14,503.00",Asset,8,"46,738.61",48,Closed,22-07-2022
LOAN20029,CUST10544,"13,47,627.00",Education,14,"35,726.25",50,Active,13-02-2024
LOAN20030,CUST10134,"22,60,885.00",Education,13,"56,294.65",53,Active,28-07-2022
LOAN20031,CUST10058,"16,47,390.00",Personal,13,"62,848.16",31,Active,07-09-2022
LOAN20032,CUST10098,"20,69,562.00",Asset,9,"82,221.03",28,Active,14-06-2021
LOAN20033,CUST10509,"6,80,492.00",Business,14,"20,587.09",42,Closed,14-04-2025
LOAN20034,CUST10957,"16,96,139.00",Business,12,"50,631.48",41,Active,27-05-2023
LOAN20035,CUST10593,"25,79,486.00",Education,13,"67,089.45",50,Active,06-09-2023
LOAN20036,CUST10151,"10,71,746.00",Asset,8,"26,164.45",48,Closed,24-11-2021
LOAN20037,CUST10504,"9,32,952.00",Personal,15,"35,552.85",32,Active,24-09-2023
LOAN20038,CUST10336,"22,63,087.00",Education,14,"58,294.72",52,Active,23-05-2023
LOAN20039,CUST10171,"25,93,571.00",Business,13,"62,017.01",56,Active,13-04-2023
LOAN20040,CUST10521,"14,53,966.00",Personal,14,"57,720.07",30,Active,04-12-2024
LOAN20041,CUST10383,"13,71,966.00",Education,12,"47,799.25",34,Active,20-11-2023
LOAN20042,CUST10585,"20,01,411.00",Personal,14,"51,554.23",52,Closed,06-03-2022
LOAN20043,CUST10145,"19,35,986.00",Business,15,"55,595.23",46,Active,28-12-2024
LOAN20044,CUST10498,"25,04,042.00",Asset,8,"53,727.17",56,Active,30-12-2021
LOAN20045,CUST10968,"21,53,146.00",Personal,15,"71,527.15",38,Active,24-09-2023
LOAN20046,CUST10542,"16,20,381.00",Education,15,"61,749.33",32,Active,01-02-2024
LOAN20047,CUST10685,"21,00,185.00",Asset,9,"63,722.92",38,Active,31-03-2023
LOAN20048,CUST10503,"23,08,403.00",Personal,12,"82,473.32",33,Active,01-10-2022
LOAN20049,CUST10981,"25,88,376.00",Business,15,"85,985.41",38,Active,22-02-2023
LOAN20050,CUST10365,"7,51,368.00",Education,15,"29,385.56",31,Active,29-11-2023
LOAN20051,CUST10735,"27,22,758.00",Education,14,"65,666.08",57,Active,04-11-2024
LOAN20052,CUST10530,"7,15,463.00",Business,13,"24,106.78",36,Active,04-10-2021
LOAN20053,CUST10010,"27,48,856.00",Business,15,"95,290.00",36,Active,30-06-2021
LOAN20054,CUST10962,"3,31,412.00",Personal,13,"8,619.64",50,Active,11-03-2024
LOAN20055,CUST10176,"6,37,384.00",Education,14,"15,185.21",58,Active,28-09-2023
LOAN20056,CUST10221,"9,75,127.00",Education,13,"46,359.31",24,Active,25-08-2022
LOAN20057,CUST10613,"8,55,191.00",Education,14,"33,034.35",31,Active,07-03-2024
LOAN20058,CUST10762,"28,58,930.00",Personal,15,"1,33,862.15",25,Closed,03-03-2024
LOAN20059,CUST10092,"19,02,922.00",Education,15,"92,266.31",24,Active,07-10-2022
LOAN20060,CUST10487,"2,75,559.00",Asset,10,"6,266.21",55,Active,09-04-2024
LOAN20061,CUST10717,"2,08,834.00",Business,13,"6,335.26",41,Active,26-09-2022
LOAN20062,CUST10307,"80,076.00",Asset,10,"2,861.19",32,Active,14-05-2024
LOAN20063,CUST10708,"25,93,472.00",Asset,10,"83,684.05",36,Active,23-06-2024
LOAN20064,CUST10565,"3,44,946.00",Personal,15,"16,151.22",25,Active,07-07-2021
LOAN20065,CUST10534,"11,84,602.00",Asset,8,"27,476.09",51,Active,18-10-2021
LOAN20066,CUST10614,"25,30,006.00",Education,15,"69,361.72",49,Active,26-02-2022
LOAN20067,CUST10092,"13,99,325.00",Personal,15,"67,848.58",24,Active,03-03-2022
LOAN20068,CUST10056,"20,22,681.00",Asset,10,"81,293.12",28,Active,10-05-2023
