PAYMENTS_ID,LOAN_ID,DUE_DATE,PAID_DATE,AMOUNT_PAID,STATUS
PAY09267,LOAN20001,01-03-2022,22-02-2022,6284.93,Paid
PAY09268,LOAN20001,01-04-2022,28-03-2022,6284.93,Paid
PAY09269,LOAN20001,01-05-2022,25-04-2022,6284.93,Paid
PAY09270,LOAN20001,01-06-2022,27-05-2022,6284.93,Paid
PAY09271,LOAN20001,01-07-2022,29-06-2022,6284.93,Paid
PAY09272,LOAN20001,01-08-2022,23-07-2022,6284.93,Paid
PAY09273,LOAN20001,01-09-2022,22-08-2022,6284.93,Paid
PAY09274,LOAN20001,01-10-2022,27-09-2022,6284.93,Paid
PAY09275,LOAN20001,01-11-2022,23-10-2022,6284.93,Paid
PAY09276,LOAN20001,01-12-2022,28-11-2022,6284.93,Paid
PAY09277,LOAN20001,01-01-2023,31-12-2022,6284.93,Paid
PAY09278,LOAN20001,01-02-2023,30-01-2023,6284.93,Paid
PAY09279,LOAN20001,01-03-2023,21-02-2023,6284.93,Paid
PAY09280,LOAN20001,01-04-2023,28-03-2023,6284.93,Paid
PAY09281,LOAN20001,01-05-2023,28-04-2023,6284.93,Paid
PAY09282,LOAN20001,01-06-2023,28-05-2023,6284.93,Paid
PAY09283,LOAN20001,01-07-2023,27-06-2023,6284.93,Paid
PAY09284,LOAN20001,01-08-2023,27-07-2023,6284.93,Paid
PAY09285,LOAN20001,01-09-2023,22-08-2023,6284.93,Paid
PAY09286,LOAN20001,01-10-2023,30-09-2023,6284.93,Paid
PAY09287,LOAN20001,01-11-2023,26-10-2023,6284.93,Paid
PAY09288,LOAN20001,01-12-2023,27-11-2023,6284.93,Paid
PAY09289,LOAN20001,01-01-2024,26-12-2023,6284.93,Paid
PAY09290,LOAN20001,01-02-2024,22-01-2024,6284.93,Paid
PAY09291,LOAN20001,01-03-2024,23-02-2024,6284.93,Paid
PAY09292,LOAN20001,01-04-2024,28-03-2024,6284.93,Paid
PAY09293,LOAN20001,01-05-2024,27-04-2024,6284.93,Paid
PAY09294,LOAN20001,01-06-2024,28-05-2024,6284.93,Paid
PAY09295,LOAN20001,01-07-2024,25-06-2024,6284.93,Paid
PAY09296,LOAN20001,01-08-2024,28-07-2024,6284.93,Paid
PAY09297,LOAN20001,01-09-2024,24-08-2024,6284.93,Paid
PAY09298,LOAN20001,01-10-2024,21-09-2024,6284.93,Paid
PAY09299,LOAN20001,01-11-2024,25-10-2024,6284.93,Paid
PAY09300,LOAN20001,01-12-2024,25-11-2024,6284.93,Paid
PAY09301,LOAN20001,01-01-2025,24-12-2024,6284.93,Paid
PAY09302,LOAN20001,01-02-2025,31-01-2025,6284.93,Paid
PAY09303,LOAN20001,01-03-2025,24-02-2025,6284.93,Paid
PAY09304,LOAN20001,01-04-2025,23-03-2025,6284.93,Paid
PAY09305,LOAN20001,01-05-2025,21-04-2025,6284.93,Paid
PAY09306,LOAN20001,01-06-2025,23-05-2025,6284.93,Paid
PAY01647,LOAN20004,01-11-2024,01-11-2024,29157.46,Bounced
PAY01648,LOAN20004,01-12-2024,24-12-2024,29157.46,Late
PAY01649,LOAN20004,01-01-2025,07-02-2025,29157.46,Late
PAY01650,LOAN20004,01-02-2025,26-04-2025,29157.46,Late
PAY01651,LOAN20004,01-03-2025,,0,Skipped
PAY01652,LOAN20004,01-04-2025,,0,Skipped
PAY01653,LOAN20004,01-05-2025,,0,Skipped
PAY01654,LOAN20004,01-06-2025,03-06-2025,29157.46,Bounced
PAY11745,LOAN20005,01-09-2024,12-09-2024,25964.29097,Partial
PAY11746,LOAN20005,01-10-2024,02-10-2024,72959.59,Paid
PAY11747,LOAN20005,01-11-2024,16-11-2024,72959.59,Late
PAY11748,LOAN20005,01-12-2024,,0,Skipped
PAY11749,LOAN20005,01-01-2025,,0,Skipped
PAY11750,LOAN20005,01-02-2025,02-03-2025,72959.59,Late
PAY11751,LOAN20005,01-03-2025,02-03-2025,72959.59,Paid
PAY11752,LOAN20005,01-04-2025,12-04-2025,42119.07146,Partial
PAY11753,LOAN20005,01-05-2025,07-05-2025,72959.59,Bounced
PAY11754,LOAN20005,01-06-2025,30-05-2025,72959.59,Paid
PAY08971,LOAN20007,01-12-2024,27-11-2024,15700.64,Paid
PAY08972,LOAN20007,01-01-2025,27-12-2024,15700.64,Paid
PAY08973,LOAN20007,01-02-2025,23-01-2025,15700.64,Paid
PAY08974,LOAN20007,01-03-2025,02-03-2025,15700.64,Paid
PAY08975,LOAN20007,01-04-2025,27-03-2025,15700.64,Paid
PAY08976,LOAN20007,01-05-2025,23-04-2025,15700.64,Paid
PAY08977,LOAN20007,01-06-2025,24-05-2025,15700.64,Paid
PAY16342,LOAN20008,01-02-2024,03-02-2024,95455.33,Bounced
PAY16343,LOAN20008,01-03-2024,01-03-2024,64908.00422,Partial
PAY16344,LOAN20008,01-04-2024,15-04-2024,28727.47453,Partial
PAY16345,LOAN20008,01-05-2024,,0,Skipped
PAY16346,LOAN20008,01-06-2024,28-07-2024,95455.33,Late
PAY16347,LOAN20008,01-07-2024,09-07-2024,70342.77525,Partial
PAY16348,LOAN20008,01-08-2024,20-08-2024,95455.33,Late
PAY16349,LOAN20008,01-09-2024,03-09-2024,95455.33,Bounced
PAY16350,LOAN20008,01-10-2024,06-10-2024,95455.33,Bounced
PAY16351,LOAN20008,01-11-2024,20-01-2025,95455.33,Late
PAY16352,LOAN20008,01-12-2024,,0,Skipped
PAY16353,LOAN20008,01-01-2025,04-01-2025,49905.21674,Partial
PAY16354,LOAN20008,01-02-2025,,0,Skipped
PAY16355,LOAN20008,01-03-2025,12-03-2025,55544.48214,Partial
PAY16356,LOAN20008,01-04-2025,,0,Skipped
PAY16357,LOAN20008,01-05-2025,07-05-2025,54784.28097,Partial
PAY16358,LOAN20008,01-06-2025,,0,Skipped
PAY02883,LOAN20011,01-09-2022,28-08-2022,69154.63,Paid
PAY02884,LOAN20011,01-10-2022,25-09-2022,69154.63,Paid
PAY02885,LOAN20011,01-11-2022,01-11-2022,69154.63,Paid
PAY02886,LOAN20011,01-12-2022,26-11-2022,69154.63,Paid
PAY02887,LOAN20011,01-01-2023,02-01-2023,69154.63,Paid
PAY02888,LOAN20011,01-02-2023,23-01-2023,69154.63,Paid
PAY02889,LOAN20011,01-03-2023,27-02-2023,69154.63,Paid
PAY02890,LOAN20011,01-04-2023,02-04-2023,69154.63,Paid
PAY02891,LOAN20011,01-05-2023,29-04-2023,69154.63,Paid
PAY02892,LOAN20011,01-06-2023,29-05-2023,69154.63,Paid
PAY02893,LOAN20011,01-07-2023,02-07-2023,69154.63,Paid
PAY02894,LOAN20011,01-08-2023,01-08-2023,69154.63,Paid
PAY02895,LOAN20011,01-09-2023,25-08-2023,69154.63,Paid
PAY02896,LOAN20011,01-10-2023,01-10-2023,69154.63,Paid
PAY02897,LOAN20011,01-11-2023,01-11-2023,69154.63,Paid
PAY02898,LOAN20011,01-12-2023,25-11-2023,69154.63,Paid
PAY02899,LOAN20011,01-01-2024,31-12-2023,69154.63,Paid
PAY02900,LOAN20011,01-02-2024,31-01-2024,69154.63,Paid
PAY02901,LOAN20011,01-03-2024,01-03-2024,69154.63,Paid
PAY02902,LOAN20011,01-04-2024,28-03-2024,69154.63,Paid
PAY02903,LOAN20011,01-05-2024,24-04-2024,69154.63,Paid
PAY02904,LOAN20011,01-06-2024,27-05-2024,69154.63,Paid
PAY02905,LOAN20011,01-07-2024,27-06-2024,69154.63,Paid
PAY02906,LOAN20011,01-08-2024,02-08-2024,69154.63,Paid
PAY02907,LOAN20011,01-09-2024,30-08-2024,69154.63,Paid
PAY02908,LOAN20011,01-10-2024,05-10-2024,69154.63,Late
PAY02909,LOAN20011,01-11-2024,29-10-2024,69154.63,Paid
PAY02910,LOAN20011,01-12-2024,29-11-2024,69154.63,Paid
PAY02911,LOAN20011,01-01-2025,22-12-2024,69154.63,Paid
PAY02912,LOAN20011,01-02-2025,22-01-2025,69154.63,Paid
PAY02913,LOAN20011,01-03-2025,25-02-2025,69154.63,Paid
PAY02914,LOAN20011,01-04-2025,25-03-2025,69154.63,Paid
PAY02915,LOAN20011,01-05-2025,27-04-2025,69154.63,Paid
PAY02916,LOAN20011,01-06-2025,22-05-2025,69154.63,Paid
PAY05096,LOAN20015,01-08-2024,11-08-2024,41282.84,Late
PAY05097,LOAN20015,01-09-2024,03-11-2024,41282.84,Late
PAY05098,LOAN20015,01-10-2024,15-10-2024,22887.94179,Partial
PAY05099,LOAN20015,01-11-2024,27-10-2024,41282.84,Paid
PAY05100,LOAN20015,01-12-2024,25-12-2024,41282.84,Late
PAY05101,LOAN20015,01-01-2025,07-01-2025,41282.84,Bounced
PAY05102,LOAN20015,01-02-2025,02-02-2025,41282.84,Bounced
PAY05103,LOAN20015,01-03-2025,14-03-2025,14989.59932,Partial
PAY05104,LOAN20015,01-04-2025,06-04-2025,41282.84,Bounced
PAY05105,LOAN20015,01-05-2025,02-05-2025,41282.84,Paid
PAY05106,LOAN20015,01-06-2025,12-06-2025,17982.75873,Partial
PAY09307,LOAN20017,01-06-2023,29-05-2023,14311.2,Paid
PAY09308,LOAN20017,01-07-2023,23-06-2023,14311.2,Paid
PAY09309,LOAN20017,01-08-2023,25-07-2023,14311.2,Paid
PAY09310,LOAN20017,01-09-2023,24-08-2023,14311.2,Paid
PAY09311,LOAN20017,01-10-2023,29-09-2023,14311.2,Paid
PAY09312,LOAN20017,01-11-2023,24-10-2023,14311.2,Paid
PAY09313,LOAN20017,01-12-2023,21-11-2023,14311.2,Paid
